site,site #,date,month,rain_mm,rain_oak,rain_euc,runoffL_oak,runoffL_euc,slope_oak,slope_euc,aspect_oak,aspect_euc,surface_tension_oak,surface_tension_euc,runoff_rainfall_ratio_oak,runoff_rainfall_ratio_euc
AB1,1,11/8/2006,11/6/2006,29,28,30,4.79,6.7,32,31,220,227,44.37,32.79,0.171071429,0.223333333
AB1,1,11/12/2006,11/6/2006,22,19,18,3.2,4.3,32,31,220,227,68.79,32.79,0.168421053,0.238888889
AB1,1,11/29/2006,11/6/2006,85,62,68,9.7,16,32,31,220,227,72.75,32.79,0.156451613,0.235294118
AB1,1,12/12/2006,12/6/2006,82,93,82,14,14.2,32,31,220,227,NA,NA,0.150537634,0.173170732
AB1,1,12/28/2006,12/6/2006,43,61,47,9.7472,4.32532,32,31,220,227,72.75,72.75,0.159790164,0.092028085
AB1,1,1/29/2007,1/7/2007,7,98,10,1.4,0,32,31,220,227,56.41,37.4,0.014285714,0
AB1,1,2/9/2007,2/7/2007,56,45,43,10.0518,0,32,31,220,227,NA,NA,0.223373333,0
AB1,1,2/13/2007,2/7/2007,63,41,44,3.89888,1.40116,32,31,220,227,72.75,68.79,0.095094634,0.031844545
AB1,1,2/28/2007,2/7/2007,NA,56,56,4.75176,8.65064,32,31,220,227,NA,NA,0.084852857,0.154475714
AB1,1,3/22/2007,3/7/2007,NA,1,3,NA,0.11,32,31,220,227,68.79,28.51,NA,0.036666667
AB1,1,4/23/2007,4/7/2007,NA,31,36,6.94488,9.19892,32,31,220,227,72.75,28.51,0.224028387,0.255525556
AB1,1,5/5/2007,5/7/2007,NA,34,28,6.33568,7.43224,32,31,220,227,72.75,37.4,0.186343529,0.265437143
AB2,2,11/8/2006,11/6/2006,24,24,23,3.48,7.72,24,25,100,106,44.37,32.79,0.145,0.335652174
AB2,2,11/12/2006,11/6/2006,11,16,16,1.8,5.1,24,25,100,106,72.75,28.51,0.1125,0.31875
AB2,2,11/29/2006,11/6/2006,50,58,66,11.8,12,24,25,100,106,72.75,37.4,0.203448276,0.181818182
AB2,2,12/12/2006,12/6/2006,99,74,79,NA,NA,24,25,100,106,NA,NA,NA,NA
AB2,2,12/28/2006,12/6/2006,49,47,38,6.6,2.34,24,25,100,106,72.75,72.75,0.140425532,0.061578947
AB2,2,1/29/2007,1/7/2007,4,3,4,1.26,0.05,24,25,100,106,NA,NA,0.42,0.0125
AB2,2,2/9/2007,2/7/2007,37,43,40,6.3,3.3,24,25,100,106,NA,NA,0.146511628,0.0825
AB2,2,2/13/2007,2/7/2007,43,56,43,6.78,1.14,24,25,100,106,72.75,72.75,0.121071429,0.026511628
AB2,2,2/28/2007,2/7/2007,57,52,43,6.6,2.1,24,25,100,106,NA,NA,0.126923077,0.048837209
AB2,2,3/22/2007,3/7/2007,1,1,1,0.105,0.27,24,25,100,106,68.79,32.79,0.105,0.27
AB2,2,4/23/2007,4/7/2007,23,37,34,4.32,2.88,24,25,100,106,72.75,44.37,0.116756757,0.084705882
AB2,2,5/5/2007,5/7/2007,11,30,21,4.98,3.3,24,25,100,106,72.75,28.51,0.166,0.157142857
KM1,3,11/8/2006,11/6/2006,31,27,29,1.49,0.09,30.5,25,189,196,56.41,32.79,0.055185185,0.003103448
KM1,3,11/12/2006,11/6/2006,19,14,8,0.135,0,30.5,25,189,196,72.75,56.41,0.009642857,0
KM1,3,11/29/2006,11/6/2006,65,42,44,3.7,0,30.5,25,189,196,72.75,56.41,0.088095238,0
KM1,3,12/12/2006,12/6/2006,NA,71,82,4.8,0,30.5,25,189,196,44.37,32.79,0.067605634,0
KM1,3,12/28/2006,12/6/2006,NA,36,39,2.46,0,30.5,25,189,196,NA,NA,0.068333333,0
KM1,3,1/29/2007,1/7/2007,NA,14,7,0.125,0,30.5,25,189,196,72.75,44.37,0.008928571,0
KM1,3,2/9/2007,2/7/2007,87,50,55,2.4,1.8,30.5,25,189,196,NA,NA,0.048,0.032727273
KM1,3,2/13/2007,2/7/2007,68,48,50,2.58,1.68,30.5,25,189,196,72.75,72.75,0.05375,0.0336
KM1,3,2/28/2007,2/7/2007,84,64,61,2.64,0.18,30.5,25,189,196,NA,NA,0.04125,0.00295082
KM1,3,3/30/2007,3/7/2007,2,2,6,0.025,0,30.5,25,189,196,72.75,44.37,0.0125,0
KM1,3,4/23/2007,4/7/2007,NA,37,37,1.56,2.04,30.5,25,189,196,72.75,37.4,0.042162162,0.055135135
KM1,3,5/5/2007,5/7/2007,28,23,21,1.32,1.32,30.5,25,189,196,72.75,44.37,0.057391304,0.062857143
PR1,4,11/14/2006,11/6/2006,NA,NA,NA,NA,NA,27,23,121,115,72.75,32.79,NA,NA
PR1,4,12/7/2006,12/6/2006,NA,NA,NA,NA,NA,27,23,121,115,NA,NA,NA,NA
PR1,4,12/12/2006,12/6/2006,70,96,94,3.2,6.8,27,23,121,115,72.75,32.79,0.033333333,0.072340426
PR1,4,12/28/2006,12/6/2006,43,48,50,0.01,2.76,27,23,121,115,72.75,37.4,0.000208333,0.0552
PR1,4,1/29/2007,1/7/2007,NA,2,5,0,0,27,23,121,115,72.75,72.75,0,0
PR1,4,2/9/2007,2/7/2007,NA,26,22,0,1.2,27,23,121,115,NA,NA,0,0.054545455
PR1,4,2/28/2007,2/7/2007,NA,56,80,0,4.5,27,23,121,115,NA,NA,0,0.05625
PR1,4,3/30/2007,3/7/2007,NA,22,14,0,0.7,27,23,121,115,56.41,37.4,0,0.05
PR1,4,4/23/2007,4/7/2007,NA,26,37,NA,1.32,27,23,121,115,72.75,72.75,NA,0.035675676
PR1,4,5/5/2007,5/7/2007,NA,11,12,0,1.2,27,23,121,115,72.75,56.41,0,0.1
TP1,5,11/9/2006,11/6/2006,20,22,16,0.45,0.2,9,9,229,296,37.4,37.4,0.020454545,0.0125
TP1,5,11/14/2006,11/6/2006,21,14,15,0,0,9,9,229,296,NA,NA,0,0
TP1,5,12/1/2006,12/6/2006,17,12,12,0,0,9,9,229,296,72.75,32.79,0,0
TP1,5,12/14/2006,12/6/2006,70,64,62,2.6,7.2,9,9,229,296,72.75,32.79,0.040625,0.116129032
TP1,5,12/29/2006,12/6/2006,43,33,36,1.4,3.5,9,9,229,296,72.75,37.4,0.042424242,0.097222222
TP1,5,1/30/2007,1/7/2007,16,13,9,0,0.005,9,9,229,296,72.75,28.51,0,0.000555556
TP1,5,2/14/2007,2/7/2007,99,74,74,2.8,3.9,9,9,229,296,72.75,72.75,0.037837838,0.052702703
TP1,5,3/2/2007,3/7/2007,74,54,50,1.5,2.4,9,9,229,296,NA,NA,0.027777778,0.048
TP1,5,3/28/2007,3/7/2007,18,12,13,0.225,0.025,9,9,229,296,72.75,37.4,0.01875,0.001923077
TP1,5,4/24/2007,4/7/2007,32,25,25,0.525,0.4,9,9,229,296,72.75,37.4,0.021,0.016
TP1,5,5/7/2007,5/7/2007,12,14,12,0.15,0.6,9,9,229,296,72.75,56.41,0.010714286,0.05
TP2,6,11/9/2006,11/6/2006,16,16,18,0.52,0.59,12,10,143,197,37.4,37.4,0.0325,0.032777778
TP2,6,11/14/2006,11/6/2006,NA,19,17,0,0,12,10,143,197,NA,NA,0,0
TP2,6,12/1/2006,12/6/2006,NA,16,14,0,0.26,12,10,143,197,72.75,37.4,0,0.018571429
TP2,6,12/14/2006,12/6/2006,71,62,62,0,2.7,12,10,143,197,72.75,32.79,0,0.043548387
TP2,6,12/29/2006,12/6/2006,41,35,38,0,1.68,12,10,143,197,72.75,44.37,0,0.044210526
TP2,6,1/30/2007,1/7/2007,8,14,13,0,0,12,10,143,197,72.75,28.51,0,0
TP2,6,2/14/2007,2/7/2007,84,77,79,0,4.8,12,10,143,197,72.75,56.41,0,0.060759494
TP2,6,3/2/2007,3/7/2007,53,60,56,0,2.88,12,10,143,197,NA,NA,0,0.051428571
TP2,6,3/28/2007,3/7/2007,10,17,17,0,0.85,12,10,143,197,72.75,32.79,0,0.05
TP2,6,4/24/2007,4/7/2007,19,33,32,0,2.28,12,10,143,197,72.75,56.41,0,0.07125
TP2,6,5/7/2007,5/7/2007,7,14,14,0.53,0.74,12,10,143,197,72.75,37.4,0.037857143,0.052857143
TP3,7,11/9/2006,11/6/2006,15,24,18,0.06,0.38,25,18,264,215,37.4,28.51,0.0025,0.021111111
TP3,7,11/14/2006,11/6/2006,18,32,16,0.2,0,25,18,264,215,68.79,32.79,0.00625,0
TP3,7,12/1/2006,12/6/2006,15,11,13,0.8,0,25,18,264,215,68.79,32.79,0.072727273,0
TP3,7,12/14/2006,12/6/2006,57,33,50,2.4,1.9,25,18,264,215,NA,NA,0.072727273,0.038
TP3,7,12/29/2006,12/6/2006,37,30,30,0.35,0.875,25,18,264,215,72.75,56.41,0.011666667,0.029166667
TP3,7,1/30/2007,1/7/2007,17,26,17,0,0,25,18,264,215,72.75,44.37,0,0
TP3,7,2/14/2007,2/7/2007,94,64,72,0,2.4,25,18,264,215,72.75,56.41,0,0.033333333
TP3,7,3/2/2007,3/7/2007,66,35,43,0.05,0.8,25,18,264,215,NA,NA,0.001428571,0.018604651
TP3,7,3/28/2007,3/7/2007,17,10,14,0.01,0.315,25,18,264,215,72.75,44.37,0.001,0.0225
TP3,7,4/24/2007,4/7/2007,14,29,24,0.175,1.7,25,18,264,215,72.75,68.79,0.006034483,0.070833333
TP3,7,5/7/2007,5/7/2007,3,8,12,0.15,0.6,25,18,264,215,68.79,37.4,0.01875,0.05
TP4,8,11/9/2006,11/6/2006,23,23,26,0.5,3.81,12,12,187,175,37.4,28.51,0.02173913,0.146538462
TP4,8,11/14/2006,11/6/2006,17,18,21,0,1,12,12,187,175,72.75,32.79,0,0.047619048
TP4,8,12/1/2006,12/6/2006,10,10,11,0,0,12,12,187,175,72.75,32.79,0,0
TP4,8,12/14/2006,12/6/2006,68,62,76,0,9.24,12,12,187,175,72.75,72.75,0,0.121578947
TP4,8,12/29/2006,12/6/2006,32,34,40,0,4.14,12,12,187,175,NA,NA,0,0.1035
TP4,8,1/30/2007,1/7/2007,17,13,39,0,0,12,12,187,175,NA,NA,0,0
TP4,8,2/14/2007,2/7/2007,90,82,96,2.04,9.12,12,12,187,175,72.75,37.4,0.024878049,0.095
TP4,8,3/2/2007,3/7/2007,64,50,52,0,0,12,12,187,175,NA,NA,0,0
TP4,8,3/28/2007,3/7/2007,10,19,22,0,0.475,12,12,187,175,72.75,28.51,0,0.021590909
TP4,8,4/24/2007,4/7/2007,20,32,32,0,1.8,12,12,187,175,72.75,37.4,0,0.05625
TP4,8,5/7/2007,5/7/2007,7,17,11,0,1.5,12,12,187,175,72.75,37.4,0,0.136363636
